"id_nil","nil_name","lisa_state_f","hmm_state"
1,"DUOMO","HH","Aligned"
2,"BRERA","HH","Aligned"
3,"GIARDINI P.TA VENEZIA","HH","Hyped"
4,"GUASTALLA","HH","Aligned"
5,"PORTA VIGENTINA - PORTA LODOVICA","HH","Hyped"
6,"PORTA TICINESE - CONCA DEL NAVIGLIO","HH","Hyped"
7,"MAGENTA - S. VITTORE","HH","Aligned"
8,"PARCO SEMPIONE","HH","Underestimated"
9,"PORTA GARIBALDI - PORTA NUOVA","HH","Hyped"
10,"STAZIONE CENTRALE - PONTE SEVESO","HH","Hyped"
11,"ISOLA","HH","Hyped"
12,"MACIACHINI - MAGGIOLINA","HH","Hyped"
13,"GRECO - SEGNANO","NotSignificant","Aligned"
14,"NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI","NotSignificant","Hyped"
15,"BICOCCA","NotSignificant","Hyped"
16,"GORLA - PRECOTTO","LH","Hyped"
17,"ADRIANO","NotSignificant","Hyped"
18,"CIMIANO - ROTTOLE - Q.RE FELTRE","NotSignificant","Aligned"
19,"PADOVA - TURRO - CRESCENZAGO","NotSignificant","Hyped"
20,"LORETO - CASORETTO - NOLO","HH","Hyped"
21,"BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE","HH","Hyped"
22,"CITTA' STUDI","HH","Aligned"
23,"LAMBRATE - ORTICA","NotSignificant","Aligned"
24,"PARCO FORLANINI - CAVRIANO","NotSignificant","Hyped"
25,"CORSICA","HH","Hyped"
26,"XXII MARZO","HH","Hyped"
27,"PTA ROMANA","HH","Underestimated"
28,"UMBRIA - MOLISE - CALVAIRATE","HH","Underestimated"
29,"ORTOMERCATO","NotSignificant","Underestimated"
30,"TALIEDO - MORSENCHIO - Q.RE FORLANINI","NotSignificant","Underestimated"
31,"MONLUE' - PONTE LAMBRO","NotSignificant","Aligned"
32,"TRIULZO SUPERIORE","NotSignificant","Aligned"
33,"ROGOREDO - SANTA GIULIA","LH","Aligned"
34,"CHIARAVALLE","NotSignificant","Aligned"
35,"LODI - CORVETTO","LH","Aligned"
36,"SCALO ROMANA","HH","Underestimated"
37,"MORIVIONE","HH","Underestimated"
38,"VIGENTINO - Q.RE FATIMA","NotSignificant","Underestimated"
39,"QUINTOSOLE","LL","Aligned"
40,"RONCHETTO DELLE RANE","LL","Aligned"
41,"GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE","LL","Aligned"
42,"STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA","LH","Aligned"
43,"TIBALDI","HH","Underestimated"
44,"PORTA TICINESE - CONCHETTA","HH","Underestimated"
45,"MONCUCCO - SAN CRISTOFORO","LH","Aligned"
46,"BARONA","LH","Aligned"
47,"CANTALUPA","NotSignificant","Aligned"
48,"RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO","NotSignificant","Aligned"
49,"GIAMBELLINO","NotSignificant","Hyped"
50,"PORTA GENOVA","HH","Underestimated"
51,"PORTA MAGENTA","HH","Underestimated"
52,"BANDE NERE","LH","Hyped"
53,"LORENTEGGIO","LH","Hyped"
54,"MUGGIANO","LL","Aligned"
55,"BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA","LL","Aligned"
56,"FORZE ARMATE","LH","Aligned"
57,"SAN SIRO","HH","Aligned"
58,"DE ANGELI - MONTE ROSA","HH","Hyped"
59,"TRE TORRI","HH","Hyped"
60,"STADIO - IPPODROMI","NotSignificant","Aligned"
61,"QUARTO CAGNINO","NotSignificant","Aligned"
62,"QUINTO ROMANO","NotSignificant","Aligned"
63,"FIGINO","NotSignificant","Underestimated"
64,"TRENNO","LL","Hyped"
65,"Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO","NotSignificant","Aligned"
66,"QT 8","LH","Aligned"
67,"PORTELLO","HH","Aligned"
68,"PAGANO","HH","Hyped"
69,"SARPI","HH","Hyped"
70,"GHISOLFA","HH","Hyped"
71,"VILLAPIZZONE - CAGNOLA - BOLDINASCO","NotSignificant","Aligned"
72,"MAGGIORE - MUSOCCO - CERTOSA","NotSignificant","Aligned"
73,"CASCINA MERLATA","NotSignificant","Hyped"
74,"ROSERIO","NotSignificant","Aligned"
75,"STEPHENSON","NotSignificant","Hyped"
76,"QUARTO OGGIARO - VIALBA - MUSOCCO","NotSignificant","Aligned"
77,"BOVISA","NotSignificant","Aligned"
78,"FARINI","HH","Hyped"
79,"DERGANO","HH","Aligned"
80,"AFFORI","LH","Hyped"
81,"BOVISASCA","NotSignificant","Aligned"
82,"COMASINA","LH","Hyped"
83,"BRUZZANO","NotSignificant","Hyped"
84,"PARCO NORD","NotSignificant","Hyped"
85,"PARCO DELLE ABBAZIE","LL","Aligned"
86,"PARCO DEI NAVIGLI","NotSignificant","Aligned"
87,"ASSIANO","NotSignificant","Underestimated"
88,"PARCO BOSCO IN CITTA'","LL","Aligned"
